_source_id,Num. reto,Título,Descripción,Sector/es,Entidad emisora,Fecha envío,Fecha cierre,Entidades que aplican,Tipo de conexión,¿Surge proyecto?,Socio beneficiado
74957,0215,Identificación de aplicaciones deep tech para polvo ultrafino de cobre de composición isotópica natural (Cu63/Cu65),"<p data-start=""267"" data-end=""520"">Desde SECPHO lanzamos este reto con el objetivo de identificar <strong data-start=""330"" data-end=""379"">posibles aplicaciones deep tech de alto valor</strong> para un material singular, así como detectar entidades interesadas en <strong data-start=""450"" data-end=""499"">testarlo, validarlo o explorar su adquisición</strong> para usos concretos.</p>
<p data-start=""522"" data-end=""1022"">El material disponible consiste en <strong data-start=""557"" data-end=""618"">polvo ultrafino de cobre de composición isotópica natural</strong>, <strong data-start=""620"" data-end=""637"">no radiactivo</strong>, con una composición de <strong data-start=""662"" data-end=""684"">^63Cu 69,1% ± 0,05</strong> y <strong data-start=""687"" data-end=""709"">^65Cu 30,9% ± 0,05</strong>, y una <strong data-start=""717"" data-end=""747"">pureza química del 99,999%</strong>. Se presenta en <strong data-start=""764"" data-end=""822"">ampollas de vidrio estabilizadas en atmósfera de argón</strong> para preservar sus propiedades, y la documentación técnica disponible incluye certificados de análisis emitidos por IGAS, así como micrografías SEM del material.</p>
<p data-start=""522"" data-end=""1022"">Por sus características, este material parece especialmente relevante para explorar aplicaciones en ámbitos como <strong data-start=""1137"" data-end=""1488"">microelectrónica y semiconductores, microcomponentes, electrónica crítica, PCB e interconexión avanzada, tintas y pastas conductivas, electrónica impresa, fabricación aditiva metálica, pulvimetalurgia y sinterizado, aleaciones avanzadas, thermal management, apantallamiento electromagnético EMI/EMC, sensórica, baterías y almacenamiento energético</strong>, así como otras aplicaciones de materiales funcionales donde puedan ser diferenciales la <strong data-start=""1578"" data-end=""1599"">ultra alta pureza</strong>, la <strong data-start=""1604"" data-end=""1626"">granulometría fina</strong>, la <strong data-start=""1631"" data-end=""1655"">morfología del polvo</strong> o la <strong data-start=""1661"" data-end=""1689"">estabilidad del material</strong>. Las micrografías disponibles muestran agregados formados por partículas primarias muy finas, usualmente inferiores a 2 µm.</p>
<p data-start=""522"" data-end=""1022"">Según la información facilitada, el producto fue fabricado por <strong data-start=""1916"" data-end=""1957"">ZAO Piromet (Ryazan, Federación Rusa)</strong> e importado a Suiza antes de la imposición de sanciones. Actualmente se encuentra almacenado en una instalación segura en <strong data-start=""2080"" data-end=""2110"">Embrach (cantón de Zúrich)</strong>, en zona franca, lo que en principio puede facilitar la logística de una eventual operación. La documentación de custodia disponible hace referencia a <strong data-start=""2262"" data-end=""2274"">16 cajas</strong> con un peso neto total de <strong data-start=""2301"" data-end=""2313"">1.008 kg</strong> de “ultra pure copper powder”.</p>
<p data-start=""522"" data-end=""1022"">A través de este reto, nos interesa identificar tanto <strong data-start=""2438"" data-end=""2464"">casos de uso concretos</strong> como posibles <strong data-start=""2479"" data-end=""2505"">sinergias entre socios</strong> para ensayos, validaciones, pilotos o colaboraciones en torno a este material. Invitamos a las entidades interesadas a indicarnos brevemente <strong data-start=""2647"" data-end=""2682"">qué aplicación potencial le ven</strong>, <strong data-start=""2684"" data-end=""2729"">por qué podría aportar valor en su ámbito</strong>, <strong data-start=""2731"" data-end=""2776"">qué tipo de validación o test requerirían</strong> y si su interés es, por ahora, <strong data-start=""2808"" data-end=""2824"">exploratorio</strong>, orientado a <strong data-start=""2838"" data-end=""2873"">recibir más información técnica</strong>, a <strong data-start=""2877"" data-end=""2896"">testar muestras</strong>, a <strong data-start=""2900"" data-end=""2930"">valorar una posible compra</strong> o a <strong data-start=""2935"" data-end=""2981"">explorar una colaboración con otros socios</strong>.</p>
<p data-start=""522"" data-end=""1022""><strong>ANEXOS</strong></p>
En el apartado de más información se puede acceder a 4 anexos que incluyen Informes y Certificados de Análisis, SKR de almacenamiento y una foto del producto.",,,24/04/2026,05/05/2026,,,No sabemos,
74755,0214,Seguridad industrial en planta: prevención de atropellos e interacciones de riesgo entre maquinaria móvil y operarios en zonas de maniobra reducida,"<p data-start=""381"" data-end=""887"">Una empresa industrial plantea un reto de seguridad orientado a prevenir situaciones de riesgo derivadas de la convivencia entre <strong data-start=""510"" data-end=""542"">operarios y maquinaria móvil</strong> en una <strong data-start=""550"" data-end=""587"">zona logística interior de planta</strong> con espacio reducido, maniobras frecuentes y elevada exposición operativa. El objetivo es identificar soluciones que permitan <strong data-start=""714"" data-end=""791"">evitar, reducir o eliminar el riesgo de atropello o interacción peligrosa</strong> entre personas y equipos móviles en este tipo de entorno.</p>
<p data-start=""889"" data-end=""1653"">El caso de uso parte de una zona específica de planta en la que recientemente se ha evidenciado un riesgo crítico asociado a la operativa entre una <strong data-start=""1037"" data-end=""1061"">carretilla elevadora</strong> y un operario. La necesidad es contar con una solución robusta que impida que la maquinaria opere en condiciones de riesgo cuando haya una persona dentro del área peligrosa, con una lógica de seguridad automática y con el menor impacto posible sobre la operativa diaria. Aunque el foco inicial está en este caso concreto, la empresa también valora propuestas con potencial de <strong data-start=""1438"" data-end=""1456"">replicabilidad</strong> a otros equipos móviles, como carretillas frontales o laterales, palas, grúas autopropulsadas u otra maquinaria similar.</p>
<p data-start=""1655"" data-end=""2364"">Como referencia, la zona a monitorizar puede considerarse de aproximadamente unos <strong data-start=""1766"" data-end=""1776"">200 m²</strong>. Se trata de un entorno exigente, con convivencia constante entre personas y vehículos industriales, distancias de maniobra reducidas y una necesidad clara de separar de forma segura las zonas de operación de maquinaria y las zonas seguras para el personal. En el caso analizado, la maquinaria de referencia es una <strong data-start=""2092"" data-end=""2140"">carretilla eléctrica Kalmar ECE70-6 (80/24V)</strong>. Actualmente existen distintos niveles de equipamiento en visión artificial, desde cámaras traseras estándar hasta algunas unidades con cámaras avanzadas con IA y detección de personas.</p>
<p data-start=""2366"" data-end=""3170"">La solución deberá responder adecuadamente a un entorno industrial complejo. Entre los condicionantes a tener en cuenta destacan la presencia de <strong data-start=""2511"" data-end=""2532"">elementos móviles</strong> en la zona, en particular devanadoras con movimiento a 90º y velocidad baja; la existencia de <strong data-start=""2627"" data-end=""2665"">partículas metálicas en suspensión</strong>; y las <strong data-start=""2673"" data-end=""2703"">variaciones de iluminación</strong> provocadas por la apertura del portón de acceso de maquinaria, en función del momento del día y de la incidencia solar. También deben contemplarse posibles obstáculos, estructuras y situaciones de visibilidad parcial que puedan afectar al rendimiento de soluciones basadas en visión o sensórica. Estas condiciones hacen especialmente importante que la propuesta sea robusta, fiable y contrastada en entornos industriales reales.</p>
<p data-start=""3172"" data-end=""4021"">La empresa está abierta a diferentes enfoques de solución. Por un lado, interesan propuestas aplicables de forma general a maquinaria móvil que permitan detectar presencia humana y activar una <strong data-start=""3365"" data-end=""3402"">respuesta automática de seguridad</strong>, idealmente mediante parada de la máquina en caso de riesgo, salvo en aquellos procesos en los que ello pudiera generar un peligro adicional. Por otro lado, en este caso concreto existe también un interés especial por soluciones basadas en <strong data-start=""3643"" data-end=""3688"">cerramiento perimetral con enclavamientos</strong>, de forma que pueda bloquearse la apertura de accesos o determinadas maniobras cuando la maquinaria se encuentre operativa en el interior de la zona. La preferencia expresada por la empresa apunta precisamente a este tipo de enfoques robustos desde el punto de vista de la seguridad industrial.</p>
<p data-start=""4023"" data-end=""4781"">Se valorarán especialmente aquellas propuestas que ofrezcan <strong data-start=""4083"" data-end=""4115"">detección fiable de personas</strong>, buen comportamiento en condiciones de visibilidad compleja, <strong data-start=""4177"" data-end=""4210"">baja tasa de falsos positivos</strong>, integración razonable sobre equipos existentes y potencial de escalado a otros tipos de maquinaria o áreas de planta. También será importante que la solución tenga sentido en términos de coste, mantenimiento y despliegue. La empresa busca preferentemente <strong data-start=""4467"" data-end=""4516"">soluciones ya validadas en entorno industrial</strong>, dado el carácter agresivo de sus instalaciones. Solo se considerarían propuestas de menor madurez si aportan una mejora muy relevante y diferencial frente a las soluciones ya disponibles.</p>
<p data-start=""4783"" data-end=""5354"">Como limitación relevante, la empresa considera que los sistemas basados exclusivamente en <strong data-start=""4874"" data-end=""4905"">tags o wearables personales</strong> no resultan adecuados como solución principal en este caso, ya que la proximidad constante entre personas y máquinas provocaría alertas continuas y reduciría la utilidad del sistema. En cambio, encajan especialmente propuestas relacionadas con <strong data-start=""5150"" data-end=""5315"">sensórica industrial, visión artificial, enclavamientos, seguridad funcional, control de accesos, automatización e integración de sistemas sobre maquinaria móvil</strong>.</p>
<p data-start=""5356"" data-end=""5421""><strong data-start=""5356"" data-end=""5421"">En el siguiente apartado de ""más información"" se pueden consultar algunas imágenes para comprender mejor el contexto del reto.</strong></p>
&nbsp;",Fabricación industrial,,14/04/2026,22/04/2026,"Beamagine, SAIKARIS, Vicomtech, CEIT, Nabla Vision, Tekniker",,No sabemos,
73043,0213,"Nuevos materiales para asfaltos, asfalto autorreparables y modelos predictivos de mantenimiento","Una operadora internacional de infraestructuras de transporte nos plantea este reto con el objetivo de explorar y evaluar tecnologías emergentes aplicadas a pavimentos, incluyendo asfaltos autorreparables, modificados y/o nuevos materiales, con el fin de r<strong>educir el deterioro prematuro, optimizar las intervenciones de conservación y aumentar la resiliencia de la infraestructura vial</strong> frente a cargas extremas y condiciones climáticas adversas. Asimismo, establecer modelos predictivos de mantenimiento que permitan anticipar fallas, optimizar recursos y mejorar la toma de decisiones operacionales.
<h4>Situación Actual:</h4>
<ul>
 	<li>Proyecto en Italia: Se introdujo el uso de RAP (Reclaimed Asphalt Pavement) con hasta un 30% en capa de rodadura con mezcla drenante.</li>
 	<li>Incremento de deterioro prematuro, perdida de material (desprendimiento), en autopistas con condiciones climáticas adversas (lluvia principalmente). Baja durabilidad</li>
 	<li>Inspección visual completa (deterioros) 1 vez al año.</li>
 	<li>Oportunidad de mejora en la fiabilidad de modelos predictivos</li>
 	<li>Fabricación de mezclas asfálticas con alta temperatura &gt; 180ºC</li>
</ul>
<h4>Limitaciones</h4>
<ul>
 	<li>Presupuesto limitado</li>
 	<li>Interés de la Unidad de negocio</li>
</ul>
<h4>Interés y Consideraciones Claves</h4>
<ul>
 	<li><strong> </strong>Materiales resilientes frente a condiciones climáticas adversa</li>
 	<li>Materiales reciclados</li>
 	<li>Asfaltos autorreparables</li>
 	<li>Modelo Predictivo de pavimento</li>
</ul>
<strong><u>Enfoques Fundamentales:</u></strong>
<ul>
 	<li>Mayor durabilidad del pavimento (Climatología y tráfico pesado)</li>
 	<li>Reducción de la Huella de carbono: Reducción de CO₂ en todo el ciclo de vida de los materiales (diseño, planta, transporte, obra y mantenimiento).</li>
 	<li>Reforzar la economía circular en las operaciones</li>
 	<li>Mejorar las propiedades funcionales (antruido, drenantes, rozamiento)</li>
 	<li>Reducir costes globales de</li>
 	<li><strong>Modelos Predictivos con IA</strong>
<ul>
 	<li>Procesamiento de los parámetros de auscultación (IRI, deflexiones, fisuras, textura).</li>
 	<li>Predecir fallas por fatiga, deformaciones y fisuración térmica.</li>
 	<li>Evaluar el desempeño a lo largo del ciclo de vida del pavimento para generar valor en la toma de decisiones.</li>
 	<li>Fácil integración con Gemelo digital o plataforma de visualización.</li>
</ul>
</li>
</ul>
<h3>Próximos pasos</h3>
Si vuestra entidad dispone de tecnologías, capacidades o experiencia aplicable, os agradeceríamos que lo indiquéis <strong>con detalle</strong> en este breve formulario antes del próximo <strong>20 de febrero</strong>. Una vez analizadas las respuestas recibidas, os invitaremos a participar en un Innovation Workshop online el 26 de febrero a las 12:30h.

<em>*El servicio de retos tecnológicos es exclusivo para socios del ecosistema SECPHO. </em>
<em>Si tu entidad todavía no es socia y quieres que te informemos sobre el valor que aportamos a nuestros socios puedes dejarnos tus datos <a href=""https://www.secpho.org/quieres-conocernos-mejor/"">aquí</a> y te contactaremos para explicarte cómo te podemos ayudar.</em>",Construcción,Aleatica,02/02/2026,20/02/2026,"Eurecat, SISTAM, SAIKARIS",Workshop online,No sabemos,
73042,0212,Sensórica	integrada	en vehículos operativos con plataforma	de visualización de datos + Gemelo Digital,"El objetivo de este reto que nos plantea una operadora internacional de infraestructuras de transporte es desarrollar un <strong>sistema integral de sensórica inteligente incorporado en un vehículo</strong> de operación para obtener de manera automatizada, continua y precisa información relevante sobre <strong>el estado de la autopista</strong>. A través de la recopilación y procesamiento avanzado de datos, se busca <strong>mejorar la gestión, supervisión y toma de decisiones sobre la carretera</strong>, proporcionando una visión completa, actualizada y evolutiva de sus condiciones. Con ello se pretende optimizar los procesos de conservación, incrementar la seguridad operativa y facilitar el análisis técnico mediante tecnologías digitales y modelos basados en datos.
<h4>Situación Actual de la empresa:</h4>
<ul>
 	<li>Contamos con gemelos digitales de las Unidades de Negocio; sin embargo, estos no se mantienen actualizados y operan sobre plataformas complejas.</li>
 	<li>Los inventarios y las auscultaciones se realizan de forma manual y, en gran medida, mediante subcontratistas. Esto genera ineficiencias operativas y produce información heterogénea, procedente de múltiples proveedores y sin un estándar común, lo que dificulta su integración y aprovechamiento.</li>
</ul>
<h4>Limitaciones</h4>
<ul>
 	<li>Presupuesto limitado</li>
 	<li>Capacidad de integración, arquitectura abierta y modulable</li>
 	<li>Facilidad de uso, integración y escalabilidad en diferentes unidades de negocios (diferentes países)</li>
</ul>
<h4>Requisitos de la Nueva Solución</h4>
<strong><u>La solución debe incluir:</u></strong>
<ul>
 	<li><strong>Sensores + Visión Artificial + Gemelo Digital + Analítica Predictiva</strong></li>
</ul>
<strong> </strong><strong><u>Debe abarcar los siguientes casos de uso:</u></strong>
<ul>
 	<li><strong> </strong>Inventario vial, señales, marcas, barreras</li>
 	<li>Auscultación: detección de anomalías (robos, daños, grietas, desgastes,)</li>
 	<li>Inspección de seguridad en cortes de carril, alertas y</li>
 	<li>Comparación histórica de pasadas de</li>
 	<li>Gemelos digitales Geometría 3D:
Entrono de simulación - réplicas de los activos:
<ul>
 	<li>Tareas de mantenimientos</li>
 	<li>Comportamiento de nuevos materiales bajo diferentes escenarios</li>
 	<li>Carriles reversibles</li>
 	<li>Gestión peajes</li>
 	<li>Condiciones meteorológicas</li>
 	<li>Reconstrucción de siniestros viales</li>
</ul>
</li>
</ul>
<h4>Alcance</h4>
<ul>
 	<li>Iniciar con un piloto en una de nuestras unidades de negocio</li>
 	<li>Debe estar diseñado para escalarse fácilmente al resto de nuestras unidades de negocio en otros países.</li>
</ul>
<h3>Próximos pasos</h3>
Si vuestra entidad dispone de tecnologías, capacidades o experiencia aplicable, os agradeceríamos que lo indiquéis <strong>con detalle</strong> en este breve formulario antes del próximo <strong>20 de febrero</strong>. Una vez analizadas las respuestas recibidas, os invitaremos a participar en un Innovation Workshop online el 26 de febrero a las 12:30h.

<em>*El servicio de retos tecnológicos es exclusivo para socios del ecosistema SECPHO.</em>
<em>Si tu entidad todavía no es socia y quieres que te informemos sobre el valor que aportamos a nuestros socios puedes dejarnos tus datos <a href=""https://www.secpho.org/quieres-conocernos-mejor/"">aquí</a> y te contactaremos para explicarte cómo te podemos ayudar.</em>",Construcción,Aleatica,02/02/2026,20/02/2026,"Imasenic, Beamagine, IKERLAN",Workshop online,No sabemos,
73041,0211,Detección Temprana de Filtraciones de Agua en Túnel,"Una <strong>operadora internacional de infraestructuras viarias </strong>nos plantea este reto con el objetivo de implementar una <strong>Plataforma de Detección y Gestión Preventiva de Filtraciones </strong>(PDGPF–AVO) que permita:
<ul>
 	<li>Detectar emanaciones incipientes de agua</li>
 	<li>Identificar su origen probable</li>
 	<li>Clasificar nivel de riesgo</li>
 	<li>Alertar tempranamente antes de que el agua llegue a la calzada</li>
 	<li>Priorizar acciones preventivas</li>
</ul>
<h4><strong>Situación actual:</strong></h4>
Filtraciones de agua en el túnel y trincheras, las cuales pueden provenir de:
<ul>
 	<li>Napa subterránea</li>
 	<li>Drenajes colmatados</li>
 	<li>Juntas estructurales deterioradas</li>
 	<li>Fisuras en revestimientos</li>
 	<li>Infiltraciones desde superficie</li>
</ul>
<strong><u>Riesgos Claves Asociados:</u></strong>
<ul>
 	<li>Deterioro progresivo del hormigón</li>
 	<li>Corrosión de armaduras</li>
 	<li>Daño a sistemas eléctricos e ITS</li>
 	<li>Aparición de agua en calzada (riesgo operacional)</li>
 	<li>Observaciones IFE y planes remediales</li>
</ul>
<h4>Limitaciones</h4>
Parte de la cubierta interior del túnel cuenta con Glasales que no permiten una visualización de las paredes estructurales, esto hace que la detección de filtraciones en ocasiones solo se reconoce una vez que asoma por el murete lateral y frente a una inspección visual de este.
<h4>Requisitos de la Nueva Solución</h4>
<strong><u>La solución debe combinar:</u></strong>
<ul>
 	<li><strong>Sensores + Visión Artificial + Gemelo Digital + Analítica Predictiva</strong></li>
 	<li><strong>Integración directa al ecosistema ITS y de conservación de AVO</strong></li>
</ul>
<strong><u>Componentes principales</u></strong>
<ul>
 	<li><strong><u>Sensores de detección temprana</u></strong></li>
</ul>
<ol>
 	<li>Sensores de humedad superficial: Ubicados en muros, bóvedas y juntas que:
<ul>
 	<li>Detectan aumento anómalo de humedad</li>
 	<li>Operan incluso sin goteo visible</li>
</ul>
</li>
 	<li>Sensores de conductividad / presencia de agua: Ubicados en canales de drenaje, puntos bajos que:
<ul>
 	<li>Diferencien humedad ambiental vs agua libre</li>
</ul>
</li>
 	<li>Sensores térmicos (cámaras IR) para detectar:
<ul>
 	<li>Enfriamiento localizado</li>
 	<li>Patrones de infiltración</li>
 	<li>Filtraciones ocultas</li>
</ul>
</li>
</ol>
<ul>
 	<li><strong><u>Inspección con Visión Artificial</u></strong></li>
</ul>
<ol>
 	<li>Cámaras fijas y móviles con IA</li>
 	<li>Detección automática    de    <strong>goteos,    escurrimientos,    manchas    de    humedad, eflorescencias</strong></li>
 	<li>Comparación temporal (antes / después)</li>
</ol>
<ul>
 	<li><u></u><strong><u>Integración con gemelo digital AVO</u></strong></li>
</ul>
<ol>
 	<li>Cada punto de filtración se <strong>georreferencia y se asocia a elemento </strong>estructural BIM</li>
 	<li><strong>Análisis: </strong>cercanía a drenajes, juntas e instalaciones</li>
 	<li><strong>Resultado: </strong>Identificación del origen probable de la filtración</li>
</ol>
<h3>Próximos pasos</h3>
Si vuestra entidad dispone de tecnologías, capacidades o experiencia aplicable, os agradeceríamos que lo indiquéis <strong>con detalle</strong> en este breve formulario antes del próximo <strong>20 de febrero</strong>. Una vez analizadas las respuestas recibidas, os invitaremos a participar en un Innovation Workshop online el 26 de febrero a las 12:30h.

<em>*El servicio de retos tecnológicos es exclusivo para socios del ecosistema SECPHO. </em>
<em>Si tu entidad todavía no es socia y quieres que te informemos sobre el valor que aportamos a nuestros socios puedes dejarnos tus datos <a href=""https://www.secpho.org/quieres-conocernos-mejor/"">aquí</a> y te contactaremos para explicarte cómo te podemos ayudar.</em>",Construcción,Aleatica,02/02/2026,20/02/2026,"Imasenic, bcb, Eurecat, Beamagine, singular things, Nabla Vision, CalSens",Workshop online,No sabemos,
69212,0194,Sistema de proyección para replanteo en mesas de prefabricados de hormigón,"&nbsp;

Una importante empresa del sector de la construcción nos plantea un reto para avanzar en la digitalización y la eficiencia de su proceso de fabricación de paneles prefabricados de hormigón arquitectónico e industrial. La empresa dispone de 8 centros por todo el territorio nacional, donde en algunos existen más de una nave destinada sólo a la producción de paneles.

Actualmente, el replanteo de huecos, anclajes, puertas o ventanas sobre las mesas de producción (moldes) se realiza manualmente, midiendo con cinta y marcando con yeso o sprays. Este proceso es lento, dependiente de la pericia del operario y con riesgo de errores que generan retrabajos, sobrecostes y problemas ergonómicos.

Lo que se busca es un sistema de <strong>proyección</strong> capaz de trasladar directamente a la mesa el plano digital de fabricación (IFC, DXF, DWG), de modo que los operarios vean con luz las líneas exactas donde colocar cada elemento. Con ello se conseguiría:
<ul data-spread=""false"">
 	<li><strong>Ahorro de tiempo</strong> en el montaje.</li>
 	<li><strong>Menos errores y retrabajos</strong>, con mayor eficiencia del proceso.</li>
 	<li><strong>Mayor precisión y calidad</strong> en los paneles.</li>
 	<li><strong>Digitalización</strong> de un proceso que hoy sigue siendo manual.</li>
 	<li><strong>Mejoras ergonómicas</strong> para el personal de fábrica.</li>
</ul>
👉 En pocas palabras: se trata de pasar de <strong>“dibujar a mano” a “proyectar con luz”</strong> los planos sobre la mesa de producción, con rapidez, precisión y seguridad.
<h3>Contexto y especificaciones</h3>
A continuación detallamos aspectos a tener en cuenta del entorno de trabajo:
<ul>
 	<li><strong>Dimensiones variables de las mesas</strong>: Los paneles fabricados son rectangulares, con longitudes habituales de 8,7 m y máximas de hasta 14 m. El ancho estándar es de 2,49 m, alcanzando hasta 3,20 m en panel industrial. Las mesas son muy grandes (más de 50 metros).</li>
 	<li>Se producen sobre mesas horizontales metálicas (chapas de acero), en naves que pueden contar con hasta 9 mesas, aunque lo habitual es 4. En algunos casos, las mesas pueden alcanzar <strong>75 m de longitud</strong>, por lo que el sistema debe cubrir grandes superficies de proyección.</li>
 	<li><strong>Altura de proyección</strong> entre 7 y 11 m desde la estructura superior de la nave.</li>
 	<li><strong>Ancho</strong> máximo a proyectar: 4 m.</li>
 	<li><strong>Tolerancia de proyección requerida</strong>: ±1–2 mm.</li>
 	<li>Proyección con <strong>visibilidad por colores</strong> para poder secuenciar capas, proyectar símbolos o textos.</li>
 	<li><strong>Condiciones ambientales</strong>: presencia de polvo, vibraciones y exposición a calor en planta. El equipo deberá ser <strong>estanco y protegido frente a polvo</strong>, con robustez suficiente para operar en entorno industrial. No aplica normativa ATEX.</li>
 	<li>I<strong>nterferencias electromagnéticas</strong> derivadas del puente grúa.</li>
 	<li><strong>Iluminación en planta</strong>: entorno a 200 lúmenes. El sistema debe ser claramente visible en este contexto.</li>
 	<li><strong>Necesidad de movilidad</strong>: idealmente un sistema capaz de desplazarse sobre carriles o carros sin interferir con el puente grúa. <strong>Posicionamiento</strong>: preferiblemente automático para evitar errores, aunque la empresa está abierta a estudiar alternativas. <strong>Desplazamiento</strong>: capacidad de movimiento longitudinal a lo largo de las mesas, y transversal para cubrir varias mesas en línea o paralelas. Alternativamente, un equipo por alineación.</li>
 	<li><strong>Integración software</strong>: con plataformas BIM <strong> (Teckla)</strong> y posibilidad de trabajar con IFC, DWG o DXF. Conexión automática vía <strong>cloud o API</strong> con los planos generados por el ERP de la empresa.</li>
 	<li>Que sea intuitivo, usable vía tablet, en castellano, y con capacidad de actualización y soporte técnico accesible.</li>
 	<li>Ideal que la proyección no requiera protección ocular especial para los operarios.</li>
</ul>
<strong>Fotografías de las mesas</strong>

Adjuntamos ejemplos de mesas de panel de varias fábricas bajo este texto, en <em><strong>Más información.</strong></em>
<h3>Qué estamos buscando</h3>
<ul>
 	<li>Soluciones de proyección capaces de cubrir superficies de gran formato en entorno industrial.</li>
 	<li>Experiencia en integración de software de proyección con plataformas BIM/IFC.</li>
 	<li>Sistemas resistentes a polvo, vibraciones y condiciones de fábrica.</li>
 	<li>Opciones que contemplen la movilidad del sistema (rail, carro, pórtico móvil).</li>
 	<li>Casos de uso en entornos industriales donde se haya probado la fiabilidad de la proyección en producción real.</li>
</ul>
<h3>Próximos pasos</h3>
Si vuestra entidad dispone de tecnologías, capacidades o experiencia aplicable, os agradeceríamos que lo indiquéis <strong>con detalle</strong> en este breve formulario antes del próximo <strong>8 de septiembre</strong>. Una vez analizadas las respuestas recibidas, los siguientes pasos podrán incluir:
<ul>
 	<li>Un contacto directo entre vuestra organización y la empresa que ha lanzado el reto, si vemos una afinidad clara.</li>
 	<li>La invitación a participar en un Innovation Workshop junto a otras entidades complementarias, cuando el reto sea más complejo y requiera la colaboración de un consorcio multidisciplinar.</li>
</ul>
El servicio de retos tecnológicos es exclusivo para socios del ecosistema SECPHO. Si tu entidad todavía no es socia y quieres que te informemos sobre el valor que aportamos a nuestros socios puedes dejarnos tus datos <a href=""https://www.secpho.org/quieres-conocernos-mejor/"">aquí</a> y te contactaremos para explicarte cómo te podemos ayudar.",Construcción,Promsa,28/08/2025,08/09/2025,"ProCareLight, SnellOptics (socio actual QPO)",,No sabemos,
68929,0006,Desarrollo de una fuente de luz LED verde,,Salud,,,,,,No sabemos,
68930,0005,"Desarrollo de fuentes de Luz UV de dimensiones reducidas (125cm3), con intensidad de luz modulable y longitudes de ondas prioritarias 220nm y 254nm",,Salud,,,,,,No sabemos,
68931,0004,"Desarrollo de fuente de luz de longitud de onda 593nm, anchura espectral ± 2nm, dimensiones similares a una pila AA",,Medioambiente,,,,,,No sabemos,
68932,0003,Sensor de monitorización del movimiento del rotor en motores eléctricos,,Fabricación industrial,,,,,,No sabemos,
