endpoint,column,dtype,missing_count,missing_percent,unique_count,example_values
members,_source_id,int64,0,0.0,414,75095 | 75094 | 75049
members,Socio,str,2,0.48,139,ICMM | Instituto de Óptica (CSIC) | ENHOL
members,Nombre,str,0,0.0,274,Tiago | Francisco Javier  | Berta
members,Apellidos,str,0,0.0,394,Neves | Solís Céspedes  | Gomez-Lor
members,Correo,str,0,0.0,403,t.a.regoneves@utwente.nl | j.solis@io.cfmac.csic.es | bgl@icmm.csic.es
members,Municipio prof.,str,19,4.59,135,Cantoblanco | Madrid | Tudela
members,Provincia prof.,str,4,0.97,23,Madrid | Navarra | Guipuzkoa
members,Función,str,0,0.0,15,Emprendedor/a | Investigación científica | Dirección
members,Cargo,str,3,0.72,300,Business Developer | Profesor de investigación  | Investigadora Científica
members,Pais de origen,str,3,0.72,18,Portugal | España | Antigua y Barbuda
members,Universidad,str,25,6.04,263,TU Delft | Doctorado en cc. Físicas | Universidad Autonoma de Madrid
members,Fecha nacimiento,str,26,6.28,176,04/05/2026 | 09/11/1997 | 08/04/1981
members,Hijos,int64,0,0.0,2,0 | 1
members,Fecha hijo-01,float64,288,69.57,21,2020.0 | 2012.0 | 2013.0
members,Fecha hijo-02,float64,350,84.54,16,2018.0 | 2014.0 | 2024.0
members,Fecha hijo-03,float64,405,97.83,6,2013.0 | 2021.0 | 2024.0
members,Tipo user LinkedIn,str,0,0.0,5,Publicador ocasional | Lector ocasional | No usuario
members,Engag. In SECPHO,str,0,0.0,5,Soy seguidor | No seguidor | Reacciono con likes
members,Persona Clave,float64,346,83.57,2,0.0 | 1.0
members,Nivel experiencia,str,401,96.86,2,Mid-level | Senior
members,Tono,str,394,95.17,3,Apasionado o entusiasta | Neutro | Cálido y cercano
members,Persona contacto,str,399,96.38,5,Sergio | Sandra | Rosa
members,Estado,str,0,0.0,2,['Asociado'] | ['Potencial']
members,Tecnologías,str,57,13.77,198,"Materiales avanzados, Microelectrónica y semiconductores | Fotónica, Materiales avanzados, Sistemas láser | Fotónica, Materiales avanzados, Microelectrónica y semiconductores, Sensórica avanzada"
members,Subtecnologías,str,114,27.54,295,"Materiales avanzados: Materiales conductores térmicos avanzados, Nanomateriales – Microelectrónica y semiconductores: Circuitos RF y microondas (para 5G, radar, comunicaciones), Electrónica basada en materiales 2D (grafeno, disulfuro de molibdeno), Electrónica de potencia (IGBTs, MOSFETs de potencia), Materiales compuestos para semiconductores, Semiconductores de banda ancha (SiC, GaN, GaAs), Tecnologías de fabricación de chips (finos, flexibles y transparentes), Tecnologías de integración heterogénea (chiplets y SiPs - System in Package) | Fotónica: Fotónica no lineal, Impresión óptica 3D – Materiales avanzados: Materiales de cambio de fase (PCM), Nanomateriales, Recubrimientos inteligentes – Sistemas láser: Excimer, Láseres Ultrarrápidos (pico y femtosegundos), Neodimio-YAG | Fotónica: Espectroscopía avanzada (Raman, infrarroja, UV-visible), Sensores fototérmicos – Materiales avanzados: Materiales de cambio de fase (PCM), Materiales fotocatalíticos – Microelectrónica y semiconductores: Electrónica flexible e impresa – Sensórica avanzada: Sensores optoquímicos"
members,Tecnologías json,str,0,0.0,342,"[{""parent"":""Materiales avanzados"",""sub"":[""Materiales conductores térmicos avanzados"",""Nanomateriales""]},{""parent"":""Microelectrónica y semiconductores"",""sub"":[""Circuitos RF y microondas (para 5G, radar, comunicaciones)"",""Electrónica basada en materiales 2D (grafeno, disulfuro de molibdeno)"",""Electrónica de potencia (IGBTs, MOSFETs de potencia)"",""Materiales compuestos para semiconductores"",""Semiconductores de banda ancha (SiC, GaN, GaAs)"",""Tecnologías de fabricación de chips (finos, flexibles y transparentes)"",""Tecnologías de integración heterogénea (chiplets y SiPs - System in Package)""]}] | [{""parent"":""Fotónica"",""sub"":[""Fotónica no lineal"",""Impresión óptica 3D""]},{""parent"":""Materiales avanzados"",""sub"":[""Materiales de cambio de fase (PCM)"",""Nanomateriales"",""Recubrimientos inteligentes""]},{""parent"":""Sistemas láser"",""sub"":[""Excimer"",""Láseres Ultrarrápidos (pico y femtosegundos)"",""Neodimio-YAG""]}] | [{""parent"":""Fotónica"",""sub"":[""Espectroscopía avanzada (Raman, infrarroja, UV-visible)"",""Sensores fototérmicos""]},{""parent"":""Materiales avanzados"",""sub"":[""Materiales de cambio de fase (PCM)"",""Materiales fotocatalíticos""]},{""parent"":""Microelectrónica y semiconductores"",""sub"":[""Electrónica flexible e impresa""]},{""parent"":""Sensórica avanzada"",""sub"":[""Sensores optoquímicos""]}]"
members,Ámbitos,str,0,0.0,196,"['Energía limpia y eficiente', 'New Space, defensa y seguridad'] | ['Acción climática y medio ambiente', 'Energía limpia y eficiente', 'Industria 4.0'] | ['Acción climática y medio ambiente', 'Energía limpia y eficiente', 'Smart cities']"
members,Sectores,str,60,14.49,277,"Defensa, Espacio | Fabricación industrial, Sector energético | Construcción, Industria química, Sector energético, Seguridad"
members,Subsectores,str,162,39.13,250,"Fabricación industrial: Desarrollo y caracterización de materiales, Fabricación de estructuras nanométricas, Fabricación de superficies funcionales, Texturizado – Sector energético: Baterías, Energía solar fotovoltaica | Construcción: Smart Windows – Industria química: Caracterización productos químicos, Investigación, Pinturas, tintas y protección de superficies – Sector energético: Energía solar fotovoltaica, Energy Harvesting – Seguridad: Detección explosivos | Aeronáutica: NDT metales, Sistemas de imagen para testeo de la nave – Agroalimentación: Acüicultura y marítimo, Controles de calidad alimentaria – Automoción: Sensores en el vehículo, Sistemas de seguridad y visión periférica – Construcción: Arqueología, Edificios sostenibles, Inspección de propiedades mecánicas, Medición de propiedades mecánicas, Sensores y detectores para entornos agresivos, Smart Buildings, Vibrometría – Defensa: Materiales avanzados para blindaje y camuflaje, Robots autónomos y sistemas de desactivación de explosivos (EOD), Sistemas de energía autónoma en el campo, Tecnologías de energía para defensa (energía portátil, energía dirigida), Vehículos marítimos (submarinos, fragatas, portaaviones) – Espacio: Materiales avanzados para el espacio – Fabricación industrial: Desarrollo y caracterización de materiales, Fabricación aditiva – Ferroviario: Monitorización de infraestructuras, Monitorización de material rodante, Sensorización de bogies, ejes, rodales y ruedas, Vibraciones y ruido inducido – Industria química: Análisis físico-químicos y ensayos mecánicos, Cristalografía y Caracterización de materiales, Desarrollo y caracterización de materiales, Investigación, Metalografía – Medioambiente: Agricultura sostenible, Lucha contra el cambio climático, Meteorología y climatología, Reciclaje y Tratamiento de residuos, Sostenibilidad – Naval: Minería submarina, Sistemas de detección submarina (sonares y radares) – Patrimonio cultural: Arqueología y excavaciones, Investigación científica aplicada al patrimonio (materiales, datación, análisis históricos) – Salud: Dermatología, Ginecología, Imagen Médica, Tratamientos no invasivos, Urología – Sector energético: Energía eléctrica, Energy Harvesting, Redes inteligentes (smart grids) – Seguridad: Visión nocturna"
