signal,status,confidence,main_sources,usable_fields,limitations,phase_1_decision
Profile similarity,Feasible,High,members_normalized.csv | socios_normalized.csv,"profile_text, technology_parents, technology_subs, sector_parents, sector_subs, ambitos, activity_summary",Strongest for socios with rich member profiles. Company-only profiles are weaker.,Use in Phase 1
Technology and sector overlap,Feasible,High,members_normalized.csv | events_normalized.csv | retos_normalized.csv,"technology_parents, technology_subs, sector_parents, sector_subs, technologies, sectors",Socios without member profiles may lack rich technology/sector detail.,Use in Phase 1
Complementarity,Feasible,Medium-High,members_normalized.csv | socios_normalized.csv,"technology fields, sector fields, ambitos, value_chain, needs_general, needs_specific, activity_summary",Needs careful scoring rules. Complementarity is not the same as similarity.,Use in Phase 1 with transparent rules
Supply-demand matching through retos,Feasible,Medium,retos_normalized.csv | members_normalized.csv | socios_normalized.csv,"title, sectors, issuing_entities, applying_entities, closing_date, reto_text",Only 11 of 174 retos have full descriptions. Issuing entity is missing in around half of retos.,"Use in Phase 1, but do not rely only on description text"
Event metadata matching,Feasible,High,events_normalized.csv | members_normalized.csv,"event_date, title, typology, technologies, ambitos, sectors, location_type, province","This supports event recommendation, not co-attendance relationship scoring.",Use in Phase 1
Co-attendance graph,Blocked,Low,Missing event attendance forms or attendance endpoint,Not available yet,"actosagenda has event metadata and counts, but not attendee identities.",Do not use until attendance data is provided
Subscriber engagement,Partially feasible,Medium,suscriptores_normalized.csv,"open_rate, click_rate, emails_count, lists, company","Useful for engagement/churn context, but not strong for technical matching.","Use as supporting signal, not primary recommender signal"
Contact availability,Feasible,High,socios_normalized.csv | datoscontacto.csv | suscriptores_normalized.csv,"main_contact_email, Contacto_Email, subscriber email",Contact info should not drive match quality. It only supports actionability.,Use for operational handoff and report generation
Official socio readiness,Feasible,High,official_socios_readiness.csv | official_socios_coverage.csv,"readiness_score, readiness_label, member_profile_count, subscriber_contact_count, retos counts",This is not a recommendation score. It is only data readiness.,Use to choose pilot socios and confidence levels
Churn or retention risk,Partially feasible,Low-Medium,suscriptores_normalized.csv | members_normalized.csv | events_normalized.csv,"open_rate, click_rate, emails_count, Engag. In SECPHO",No renewal/churn labels and no attendee-level event history yet.,Do not build churn model yet. Keep for later Phase 3.
