socio,socio_key,registered_event_count,registered_event_titles,registered_event_keys,registered_event_pairs,event_interest_source_rows,event_interest_confidence
ICFO,icfo,17,A new opportunity to boost R&D&I in Spain | Anticovid Technologies Day | Aplicaciones de la luz en la cosmética | Applications of terahertz technologies | Artificial intelligence and photonics applied to industry | Bolsa de trabajo | CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | CPI en sector sanitario Sesión de trabajo | Conectando sistemas de sensores inteligentes para la industria agroalimentaria | Creación de Valor Compartido en el sector Deep Tech | DELVY 5 ¿Cómo organizar una ronda de financiación | Deep Tech 4 Good Barcelona | Deep Tech for Smart Agriculture | Deep Tech for Sustainable Packaging | Deep Tech y ética | Deep tech for water treatment | Deep tech para tratamiento de agua,anewopportunitytoboostranddandiinspain | anticovidtechnologiesday | aplicacionesdelaluzenlacosmtica | applicationsofterahertztechnologies | artificialintelligenceandphotonicsappliedtoindustry | bolsadetrabajo | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria | connectingsessionb2bmeetingssostenibilidadenelsectordelagua | cpiensectorsanitariosesindetrabajo | creacindevalorcompartidoenelsectordeeptech | deeptech4goodbarcelona | deeptechforsmartagriculture | deeptechforsustainablepackaging | deeptechforwatertreatment | deeptechparatratamientodeagua | deeptechytica | delvy5cmoorganizarunarondadefinanciacin,anewopportunitytoboostranddandiinspain::A new opportunity to boost R&D&I in Spain | anticovidtechnologiesday::Anticovid Technologies Day | aplicacionesdelaluzenlacosmtica::Aplicaciones de la luz en la cosmética | applicationsofterahertztechnologies::Applications of terahertz technologies | artificialintelligenceandphotonicsappliedtoindustry::Artificial intelligence and photonics applied to industry | bolsadetrabajo::Bolsa de trabajo | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria::Conectando sistemas de sensores inteligentes para la industria agroalimentaria | connectingsessionb2bmeetingssostenibilidadenelsectordelagua::CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | cpiensectorsanitariosesindetrabajo::CPI en sector sanitario Sesión de trabajo | creacindevalorcompartidoenelsectordeeptech::Creación de Valor Compartido en el sector Deep Tech | deeptech4goodbarcelona::Deep Tech 4 Good Barcelona | deeptechforsmartagriculture::Deep Tech for Smart Agriculture | deeptechforsustainablepackaging::Deep Tech for Sustainable Packaging | deeptechforwatertreatment::Deep tech for water treatment | deeptechparatratamientodeagua::Deep tech para tratamiento de agua | deeptechytica::Deep Tech y ética | delvy5cmoorganizarunarondadefinanciacin::DELVY 5 ¿Cómo organizar una ronda de financiación,26,medium
Hamamatsu Photonics,hamamatsuphotonics,15,10 Reunión anual secpho | AI for Industry International Congress | Aplicaciones de las tecnologías de terahercios | Aplicación de la espectroscopia a la cadena de valor del aceite | Automatización del proceso de corte con láser mediante fabricación aditiva con termoplásticos | CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | CUSTODIAN Webinar Soluciones de láser industrial - mejor eficiencia y menores costes | Conectando sistemas de sensores inteligentes para la industria agroalimentaria | DELVY 5 ¿Cómo organizar una ronda de financiación | Deep Tech for Smart Agriculture | Deep Tech for Sustainable Packaging | Deep Tech para un envasado sostenible | Deep Tech para una agricultura inteligente | Deep Tech y ética | Deep tech para tratamiento de agua,10reuninanualsecpho | aiforindustryinternationalcongress | aplicacindelaespectroscopiaalacadenadevalordelaceite | aplicacionesdelastecnologasdeterahercios | automatizacindelprocesodecorteconlsermediantefabricacinaditivacontermoplsticos | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria | connectingsessionb2bmeetingssostenibilidadenelsectordelagua | custodianwebinarsolucionesdelserindustrialmejoreficienciaymenorescostes | deeptechforsmartagriculture | deeptechforsustainablepackaging | deeptechparatratamientodeagua | deeptechparaunaagriculturainteligente | deeptechparaunenvasadosostenible | deeptechytica | delvy5cmoorganizarunarondadefinanciacin,10reuninanualsecpho::10 Reunión anual secpho | aiforindustryinternationalcongress::AI for Industry International Congress | aplicacindelaespectroscopiaalacadenadevalordelaceite::Aplicación de la espectroscopia a la cadena de valor del aceite | aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | automatizacindelprocesodecorteconlsermediantefabricacinaditivacontermoplsticos::Automatización del proceso de corte con láser mediante fabricación aditiva con termoplásticos | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria::Conectando sistemas de sensores inteligentes para la industria agroalimentaria | connectingsessionb2bmeetingssostenibilidadenelsectordelagua::CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | custodianwebinarsolucionesdelserindustrialmejoreficienciaymenorescostes::CUSTODIAN Webinar Soluciones de láser industrial - mejor eficiencia y menores costes | deeptechforsmartagriculture::Deep Tech for Smart Agriculture | deeptechforsustainablepackaging::Deep Tech for Sustainable Packaging | deeptechparatratamientodeagua::Deep tech para tratamiento de agua | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente | deeptechparaunenvasadosostenible::Deep Tech para un envasado sostenible | deeptechytica::Deep Tech y ética | delvy5cmoorganizarunarondadefinanciacin::DELVY 5 ¿Cómo organizar una ronda de financiación,20,high
AINIA,ainia,14,Agritech and foodtech online fair | Aplicaciones de la Luz para la Industria Aeroespacial | Aplicaciones de la luz en la cosmética | Aplicaciones de las tecnologías de terahercios | BLOCK4coop Blockchain para la transformación digital de la Industria 4.0 | Branding para Pymes Best Practices | CONNECTING SESSION B2B meeting - Industria 4.0 en sector alimentario | CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | Conectando sistemas de sensores inteligentes para la industria agroalimentaria | Deep Tech for Sustainable Packaging | Deep Tech para un envasado sostenible | Deep Tech para una agricultura inteligente | Deep Tech y ética | Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,agritechandfoodtechonlinefair | aplicacionesdelaluzenlacosmtica | aplicacionesdelaluzparalaindustriaaeroespacial | aplicacionesdelastecnologasdeterahercios | block4coopblockchainparalatransformacindigitaldelaindustria40 | brandingparapymesbestpractices | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria | connectingsessionb2bmeetingindustria40ensectoralimentario | connectingsessionb2bmeetingssostenibilidadenelsectordelagua | deeptechforsustainablepackaging | deeptechparaunaagriculturainteligente | deeptechparaunenvasadosostenible | deeptechytica | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria,agritechandfoodtechonlinefair::Agritech and foodtech online fair | aplicacionesdelaluzenlacosmtica::Aplicaciones de la luz en la cosmética | aplicacionesdelaluzparalaindustriaaeroespacial::Aplicaciones de la Luz para la Industria Aeroespacial | aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | block4coopblockchainparalatransformacindigitaldelaindustria40::BLOCK4coop Blockchain para la transformación digital de la Industria 4.0 | brandingparapymesbestpractices::Branding para Pymes Best Practices | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria::Conectando sistemas de sensores inteligentes para la industria agroalimentaria | connectingsessionb2bmeetingindustria40ensectoralimentario::CONNECTING SESSION B2B meeting - Industria 4.0 en sector alimentario | connectingsessionb2bmeetingssostenibilidadenelsectordelagua::CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | deeptechforsustainablepackaging::Deep Tech for Sustainable Packaging | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente | deeptechparaunenvasadosostenible::Deep Tech para un envasado sostenible | deeptechytica::Deep Tech y ética | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria::Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,28,medium
Tekniker,tekniker,14,10 Reunión anual secpho | 31BIEMH Cena de Networking | AI for Industry International Congress | Algoritmos de IA para diseñar vestimenta de camuflaje | Anticovid Technologies Day | Aplicaciones de la Luz para la Industria Aeroespacial | Aplicaciones de robótica móvil colaborativa para la industria 4.0 | Aplicación de la espectroscopia a la cadena de valor del aceite | Aplicación de las tecnologías de la luz en la gestión del agua urbana e industrial | Artificial intelligence and photonics applied to industry | CONNECTING SESSION B2B meeting - Industria 4.0 en sector alimentario | Conectando sistemas de sensores inteligentes para la industria agroalimentaria | Deep tech para tratamiento de agua | Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,10reuninanualsecpho | 31biemhcenadenetworking | aiforindustryinternationalcongress | algoritmosdeiaparadisearvestimentadecamuflaje | anticovidtechnologiesday | aplicacindelaespectroscopiaalacadenadevalordelaceite | aplicacindelastecnologasdelaluzenlagestindelaguaurbanaeindustrial | aplicacionesdelaluzparalaindustriaaeroespacial | aplicacionesderobticamvilcolaborativaparalaindustria40 | artificialintelligenceandphotonicsappliedtoindustry | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria | connectingsessionb2bmeetingindustria40ensectoralimentario | deeptechparatratamientodeagua | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria,10reuninanualsecpho::10 Reunión anual secpho | 31biemhcenadenetworking::31BIEMH Cena de Networking | aiforindustryinternationalcongress::AI for Industry International Congress | algoritmosdeiaparadisearvestimentadecamuflaje::Algoritmos de IA para diseñar vestimenta de camuflaje | anticovidtechnologiesday::Anticovid Technologies Day | aplicacindelaespectroscopiaalacadenadevalordelaceite::Aplicación de la espectroscopia a la cadena de valor del aceite | aplicacindelastecnologasdelaluzenlagestindelaguaurbanaeindustrial::Aplicación de las tecnologías de la luz en la gestión del agua urbana e industrial | aplicacionesdelaluzparalaindustriaaeroespacial::Aplicaciones de la Luz para la Industria Aeroespacial | aplicacionesderobticamvilcolaborativaparalaindustria40::Aplicaciones de robótica móvil colaborativa para la industria 4.0 | artificialintelligenceandphotonicsappliedtoindustry::Artificial intelligence and photonics applied to industry | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria::Conectando sistemas de sensores inteligentes para la industria agroalimentaria | connectingsessionb2bmeetingindustria40ensectoralimentario::CONNECTING SESSION B2B meeting - Industria 4.0 en sector alimentario | deeptechparatratamientodeagua::Deep tech para tratamiento de agua | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria::Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,19,medium
AIMEN Centro Tecnológico,aimencentrotecnologico,11,Aplicaciones de la Luz para la Industria Aeroespacial | Aplicaciones de las tecnologías de terahercios | Aplicación de las tecnologías de la luz en la gestión del agua urbana e industrial | Automatización del proceso de corte con láser mediante fabricación aditiva con termoplásticos | Branding para Pymes Best Practices | CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | CUSTODIAN Webinar Industrial laser solutions for better efficiency and lower costs | CUSTODIAN Webinar Soluciones de láser industrial - mejor eficiencia y menores costes | Conectando sistemas de sensores inteligentes para la industria agroalimentaria | Deep Tech Talent Best Practices | Deep tech para tratamiento de agua,aplicacindelastecnologasdelaluzenlagestindelaguaurbanaeindustrial | aplicacionesdelaluzparalaindustriaaeroespacial | aplicacionesdelastecnologasdeterahercios | automatizacindelprocesodecorteconlsermediantefabricacinaditivacontermoplsticos | brandingparapymesbestpractices | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria | connectingsessionb2bmeetingssostenibilidadenelsectordelagua | custodianwebinarindustriallasersolutionsforbetterefficiencyandlowercosts | custodianwebinarsolucionesdelserindustrialmejoreficienciaymenorescostes | deeptechparatratamientodeagua | deeptechtalentbestpractices,aplicacindelastecnologasdelaluzenlagestindelaguaurbanaeindustrial::Aplicación de las tecnologías de la luz en la gestión del agua urbana e industrial | aplicacionesdelaluzparalaindustriaaeroespacial::Aplicaciones de la Luz para la Industria Aeroespacial | aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | automatizacindelprocesodecorteconlsermediantefabricacinaditivacontermoplsticos::Automatización del proceso de corte con láser mediante fabricación aditiva con termoplásticos | brandingparapymesbestpractices::Branding para Pymes Best Practices | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria::Conectando sistemas de sensores inteligentes para la industria agroalimentaria | connectingsessionb2bmeetingssostenibilidadenelsectordelagua::CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | custodianwebinarindustriallasersolutionsforbetterefficiencyandlowercosts::CUSTODIAN Webinar Industrial laser solutions for better efficiency and lower costs | custodianwebinarsolucionesdelserindustrialmejoreficienciaymenorescostes::CUSTODIAN Webinar Soluciones de láser industrial - mejor eficiencia y menores costes | deeptechparatratamientodeagua::Deep tech para tratamiento de agua | deeptechtalentbestpractices::Deep Tech Talent Best Practices,12,high
ICMAB – CSIC,icmabcsic,11,Anticovid Technologies Day | CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | CPI en sector sanitario Sesión de trabajo | Cómo organizar tu evento en Koonstel | Cómo organizar tu evento en Koonstel 2 | DELVY 5 ¿Cómo organizar una ronda de financiación | Deep Tech Talent Best Practices | Deep Tech para una agricultura inteligente | Deep Tech y ética | Deep tech para tratamiento de agua | Deep tech para una energía sostenible,anticovidtechnologiesday | cmoorganizartueventoenkoonstel | cmoorganizartueventoenkoonstel2 | connectingsessionb2bmeetingssostenibilidadenelsectordelagua | cpiensectorsanitariosesindetrabajo | deeptechparatratamientodeagua | deeptechparaunaagriculturainteligente | deeptechparaunaenergasostenible | deeptechtalentbestpractices | deeptechytica | delvy5cmoorganizarunarondadefinanciacin,anticovidtechnologiesday::Anticovid Technologies Day | cmoorganizartueventoenkoonstel2::Cómo organizar tu evento en Koonstel 2 | cmoorganizartueventoenkoonstel::Cómo organizar tu evento en Koonstel | connectingsessionb2bmeetingssostenibilidadenelsectordelagua::CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | cpiensectorsanitariosesindetrabajo::CPI en sector sanitario Sesión de trabajo | deeptechparatratamientodeagua::Deep tech para tratamiento de agua | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente | deeptechparaunaenergasostenible::Deep tech para una energía sostenible | deeptechtalentbestpractices::Deep Tech Talent Best Practices | deeptechytica::Deep Tech y ética | delvy5cmoorganizarunarondadefinanciacin::DELVY 5 ¿Cómo organizar una ronda de financiación,16,medium
Alba Synchrotron,albasynchrotron,10,Agritech and foodtech online fair | Anticovid Technologies Day | Aplicaciones de la Luz para la Industria Aeroespacial | Aplicaciones de la luz en la cosmética | Aplicación de la espectroscopia a la cadena de valor del aceite | Aplicación de las Deep Tech a la Arqueología y el Patrimonio Cultural | Aplicación de las tecnologías de la luz en la gestión del agua urbana e industrial | CONNECTING SESSION B2B meeting - Industria 4.0 en sector alimentario | CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | Cómo innovar con el Sincrotrón ALBA,agritechandfoodtechonlinefair | anticovidtechnologiesday | aplicacindelaespectroscopiaalacadenadevalordelaceite | aplicacindelasdeeptechalaarqueologayelpatrimoniocultural | aplicacindelastecnologasdelaluzenlagestindelaguaurbanaeindustrial | aplicacionesdelaluzenlacosmtica | aplicacionesdelaluzparalaindustriaaeroespacial | cmoinnovarconelsincrotrnalba | connectingsessionb2bmeetingindustria40ensectoralimentario | connectingsessionb2bmeetingssostenibilidadenelsectordelagua,agritechandfoodtechonlinefair::Agritech and foodtech online fair | anticovidtechnologiesday::Anticovid Technologies Day | aplicacindelaespectroscopiaalacadenadevalordelaceite::Aplicación de la espectroscopia a la cadena de valor del aceite | aplicacindelasdeeptechalaarqueologayelpatrimoniocultural::Aplicación de las Deep Tech a la Arqueología y el Patrimonio Cultural | aplicacindelastecnologasdelaluzenlagestindelaguaurbanaeindustrial::Aplicación de las tecnologías de la luz en la gestión del agua urbana e industrial | aplicacionesdelaluzenlacosmtica::Aplicaciones de la luz en la cosmética | aplicacionesdelaluzparalaindustriaaeroespacial::Aplicaciones de la Luz para la Industria Aeroespacial | cmoinnovarconelsincrotrnalba::Cómo innovar con el Sincrotrón ALBA | connectingsessionb2bmeetingindustria40ensectoralimentario::CONNECTING SESSION B2B meeting - Industria 4.0 en sector alimentario | connectingsessionb2bmeetingssostenibilidadenelsectordelagua::CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua,13,medium
Leitat,leitat,10,AI for Industry International Congress | Anticovid Technologies Day | Automatización del proceso de corte con láser mediante fabricación aditiva con termoplásticos | CPI en sector sanitario Sesión de trabajo | Conectando sistemas de sensores inteligentes para la industria agroalimentaria | Deep Tech para un envasado sostenible | Deep Tech para una agricultura inteligente | Deep tech for water treatment | Deep tech para tratamiento de agua | Deep tech para una energía sostenible,aiforindustryinternationalcongress | anticovidtechnologiesday | automatizacindelprocesodecorteconlsermediantefabricacinaditivacontermoplsticos | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria | cpiensectorsanitariosesindetrabajo | deeptechforwatertreatment | deeptechparatratamientodeagua | deeptechparaunaagriculturainteligente | deeptechparaunaenergasostenible | deeptechparaunenvasadosostenible,aiforindustryinternationalcongress::AI for Industry International Congress | anticovidtechnologiesday::Anticovid Technologies Day | automatizacindelprocesodecorteconlsermediantefabricacinaditivacontermoplsticos::Automatización del proceso de corte con láser mediante fabricación aditiva con termoplásticos | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria::Conectando sistemas de sensores inteligentes para la industria agroalimentaria | cpiensectorsanitariosesindetrabajo::CPI en sector sanitario Sesión de trabajo | deeptechforwatertreatment::Deep tech for water treatment | deeptechparatratamientodeagua::Deep tech para tratamiento de agua | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente | deeptechparaunaenergasostenible::Deep tech para una energía sostenible | deeptechparaunenvasadosostenible::Deep Tech para un envasado sostenible,23,medium
AsorCAD Engineering,asorcadengineering,9,10 Reunión anual secpho | 31BIEMH Cena de Networking | AI for Industry International Congress | Aplicaciones de la Luz para la Industria Aeroespacial | Aplicación de las Deep Tech a la Arqueología y el Patrimonio Cultural | BACH Tech Week Burgos Technology in Archeology and Cultural Heritage Week | Barcelona Photonics Dinner | CPI en sector sanitario Sesión de trabajo | Deep Tech Talent Best Practices,10reuninanualsecpho | 31biemhcenadenetworking | aiforindustryinternationalcongress | aplicacindelasdeeptechalaarqueologayelpatrimoniocultural | aplicacionesdelaluzparalaindustriaaeroespacial | bachtechweekburgostechnologyinarcheologyandculturalheritageweek | barcelonaphotonicsdinner | cpiensectorsanitariosesindetrabajo | deeptechtalentbestpractices,10reuninanualsecpho::10 Reunión anual secpho | 31biemhcenadenetworking::31BIEMH Cena de Networking | aiforindustryinternationalcongress::AI for Industry International Congress | aplicacindelasdeeptechalaarqueologayelpatrimoniocultural::Aplicación de las Deep Tech a la Arqueología y el Patrimonio Cultural | aplicacionesdelaluzparalaindustriaaeroespacial::Aplicaciones de la Luz para la Industria Aeroespacial | bachtechweekburgostechnologyinarcheologyandculturalheritageweek::BACH Tech Week Burgos Technology in Archeology and Cultural Heritage Week | barcelonaphotonicsdinner::Barcelona Photonics Dinner | cpiensectorsanitariosesindetrabajo::CPI en sector sanitario Sesión de trabajo | deeptechtalentbestpractices::Deep Tech Talent Best Practices,11,high
Tecnalia,tecnalia,9,31BIEMH Cena de Networking | Aplicaciones de la luz en la cosmética | Aplicaciones de las tecnologías de terahercios | CPI en sector sanitario Sesión de trabajo | Conectando sistemas de sensores inteligentes para la industria agroalimentaria | DELVY 7 Financiación alternativa a la financiación bancaria | Deep Tech para una agricultura inteligente | Deep Tech y ética | Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,31biemhcenadenetworking | aplicacionesdelaluzenlacosmtica | aplicacionesdelastecnologasdeterahercios | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria | cpiensectorsanitariosesindetrabajo | deeptechparaunaagriculturainteligente | deeptechytica | delvy7financiacinalternativaalafinanciacinbancaria | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria,31biemhcenadenetworking::31BIEMH Cena de Networking | aplicacionesdelaluzenlacosmtica::Aplicaciones de la luz en la cosmética | aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria::Conectando sistemas de sensores inteligentes para la industria agroalimentaria | cpiensectorsanitariosesindetrabajo::CPI en sector sanitario Sesión de trabajo | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente | deeptechytica::Deep Tech y ética | delvy7financiacinalternativaalafinanciacinbancaria::DELVY 7 Financiación alternativa a la financiación bancaria | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria::Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,15,high
